FID,name,address,products,latitude,longitude
90,Pastureria Beky,"Marte 1787  Col. Satelite, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.68042127,-106.3752008
91,Patitas Rotas,"Juan Gabriel   Col. Safari, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62911896,-106.4614599
92,Pet Home Veterinaria,"Waterfill 6  Col. Rincon De Waterfill, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66794051,-106.3505903
93,Pet Love,"Francisco Villa 547  Col. Manuel Valdez Iii, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63045227,-106.3608013
94,Pet Zone,"Belisario Dominguez 1679  Col. Chavena, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72692509,-106.4854228
95,Pets Anatomy,"Ejercito Nacional 9331  Col. Bosques De Santa Fe, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.68491163,-106.3966481
96,Pets Place Clinic,"Pradera De Temoris 0  Col. Praderas De La Sierra I, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62182805,-106.405657
97,Pets World,"Bosques De Jacarandas 2926 4 Col. Jardines Delbosque, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70177108,-106.4136125
98,Pixie,"Ejercito Nacional 6151 8 Col. El Marquez, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.7087741,-106.4319593
99,Rancho Agricola,"Hermenegildo Luna 0  Col. Aguilas De Zaragoza, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.6247745,-106.3329499
100,Reginas Pet Spa & Grooming,"Jacinto Benavente 2545  Col. Infonavit Casas Grandes, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70537368,-106.4311064
101,Reginas Pet Spa & Grooming,"Jacinto Benavente 2545  Col. Infonavit Casas Grandes, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70537368,-106.4311064
102,Servicios Medicos Veterinarios,"Plutarco Elias Calles 664  Col. Villas Adlin, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74158927,-106.440888
103,Servicios Para Su Mascota,"Fernando Montes De Oca 3116  Col. Partido Escobedo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73533369,-106.4558067
104,Servicios Veterinarios,"Ayuntamiento   Col. Industrial, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71247117,-106.4781762
105,Servicios Veterinarios Integrales Gopherus,"Heroes Del Carrizal 3708  Col. Anahuac, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71152646,-106.4849342
106,Servicios Veterinarios Para Mascotas Prestados Por El Sector Privado,"Custodio De La Republica 1015  Col. San Francisco, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60667563,-106.362572
107,Shower Pet,"Manuel Gomez Morin 1325  Col. Juarez, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67511132,-106.3688197
108,Star Pets,"De Los Insurgentes 5284  Col. Segunda Burocrata, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73107091,-106.439446
109,Tote Zoo,"Manuel J. Clouthier (Jilotepec) 450  Col. Maria Isabel, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65952808,-106.361531
110,Unidad Medica Veterinaria,"De La Raza   Col. Santa Celilia, Juarez, Chihuahua",Comercio al por menor de mascotas,31.72935273,-106.4430834
111,Venta De Alimento Para Animales Forrajera El General,"Ingeniero Bernardo Norzagaray 6919 4 Col. Franja Del Rio (Ladrilleros Mexicanos), Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.76455274,-106.5141504
112,Venta De Alimentos Don Juan,"Puerto Huelva 1541  Col. Tierra Nueva, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.61227676,-106.341556
113,Verterinaria General,"De La Raza   Col. Silvias, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73377224,-106.4591039
114,Vet Angel Veterinaria,"De La Raza 6362  Col. Partido La Fuente, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72503212,-106.4274788
115,Veterianaria Garcia,"De Los Aztecas 7832  Col. Revolucion Mexicana, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6761469,-106.476224
116,Veterianaria Litle Peats,"N. Municipio Libre 1638  Col. Melchor Ocampo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71969382,-106.458138
117,Veterianaria Vicvet,"Oasis De La Revolucion   Col. Oasis Revolucion, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65824489,-106.4560177
118,Veterilandia,"Custodio De La Republica 1015  Col. Fray Garcia De San Francisco32, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6064862,-106.3625171
119,Veterinari -Clinica Ecopet.,"Manuel J. Clouthier (Jilotepec) 7281  Col. Del Real, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6689729,-106.4180169
120,Veterinaria,"Tecnologico  3 Col. Del Marquez, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.7001705,-106.4247238
121,Veterinaria,"Pipila 1289 1 Col. Barrio Alto, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73886378,-106.4921404
